t,Ia,Ib,I_total,Fluxr,Fluxl,Fluxu,Leakr,Leakl
2.4950000000000003e-05,118.51898778506782,103.29947101492132,221.81845879998914,1.452645329055096,-0.38737934159442455,-1.1983270523402068,0.031521979258354926,0.03057909687858034
2.4975e-05,118.56385421810423,103.34952700536726,221.9133812234715,1.45258885075122,-0.386802690802108,-1.1979243760911644,0.031536826486205,0.03059409597017559
2.5e-05,118.60872555311543,103.3995884315038,222.00831398461924,1.4525329470297716,-0.3862250586771945,-1.1975218296285988,0.031551715273293514,0.030609129160813646
2.5025000000000002e-05,118.65360178709511,103.44965528224706,222.1032570693422,1.4524776185202435,-0.3856464454536097,-1.1971194136435381,0.03156664563021448,0.030624196458208824
2.5050000000000002e-05,118.698482917034,103.49972754650005,222.19821046353405,1.4524228658523823,-0.3850668513664584,-1.196717128827733,0.03158161756753739,0.030639297870054448
2.5075000000000003e-05,118.7433689399199,103.54980521315268,222.29317415307258,1.4523686896561907,-0.3844862766520236,-1.196314975873654,0.03159663109580726,0.03065443340402281
2.5100000000000004e-05,118.78825985273767,103.59988827108178,222.38814812381946,1.4523150905619047,-0.38390472154774336,-1.1959129554744625,0.0316116862255446,0.030669603067765262
2.5125e-05,118.83315565246915,103.6499767091512,222.48313236162033,1.4522620692000086,-0.383322186292234,-1.1955110683240353,0.03162678296724528,0.030684806868912007
2.515e-05,118.8780563360932,103.70007051621181,222.578126852305,1.4522096262012156,-0.3827386711252649,-1.1951093151169347,0.03164192133138064,0.030700044815072235
2.5175000000000002e-05,118.92296190058566,103.75016968110155,222.67313158168722,1.4521577621964723,-0.38215417628776654,-1.1947076965484158,0.031657101328397344,0.030715316913834036
2.5200000000000003e-05,118.96787234291934,103.8002741926455,222.76814653556482,1.4521064778169483,-0.3815687020218211,-1.1943062133144144,0.03167232296871743,0.030730623172764395
2.5225000000000003e-05,119.01278766006396,103.8503840396559,222.86317169971989,1.4520557736940471,-0.38098224857067814,-1.193904866111564,0.03168758626273816,0.030745963599409107
2.5250000000000004e-05,119.05770784898618,103.90049921093222,222.9582070599184,1.4520056504593728,-0.38039481617871473,-1.1935036556371459,0.031702891220832155,0.030761338201292898
2.5275e-05,119.10263290664956,103.95061969526117,223.05325260191074,1.4519561087447594,-0.37980640509147356,-1.1931025825891348,0.031718237853347216,0.03077674698591923
2.5300000000000002e-05,119.14756283001451,104.00074548141676,223.14830831143126,1.4519071491822455,-0.37921701555563503,-1.192701647666162,0.03173362617060635,0.030792189960770405
2.5325000000000002e-05,119.19249761603832,104.05087655816037,223.2433741741987,1.4518587724040661,-0.37862664781900957,-1.1923008515675075,0.03174905618290778,0.030807667133307532
2.5350000000000003e-05,119.23743726167511,104.10101291424077,223.33845017591588,1.451810979042663,-0.3780353021305513,-1.1919001949931107,0.03176452790052481,0.03082317851097042
2.5375000000000004e-05,119.28238176387582,104.15115453839418,223.43353630227,1.451763769730677,-0.3774429787403511,-1.191499678643565,0.031780041333705863,0.030838724101177627
2.54e-05,119.32733111958817,104.2013014193443,223.52863253893247,1.4517171451009379,-0.37684967789962576,-1.1910993032201014,0.0317955964926745,0.030854303911326476
2.5425e-05,119.37228532575665,104.25145354580238,223.62373887155903,1.4516711057864555,-0.3762553998607127,-1.1906990694245785,0.031811193387629236,0.030869917948792912
2.5450000000000002e-05,119.41724437932254,104.30161090646722,223.71885528578974,1.4516256524204323,-0.37566014487708177,-1.1902989779595,0.031826832028743646,0.030885566220931606
2.5475000000000003e-05,119.4622082772238,104.35177349002528,223.81398176724906,1.4515807856362495,-0.375063913203325,-1.1898990295279968,0.031842512426166265,0.030901248735075833
2.5500000000000003e-05,119.50717701639512,104.4019412851507,223.90911830154582,1.451536506067449,-0.37446670509513585,-1.1894992248338023,0.031858234590020594,0.03091696549853755
2.5525000000000004e-05,119.55215059376789,104.45211428050531,224.0042648742732,1.4514928143477532,-0.3738685208093322,-1.1890995645812792,0.031873998530405054,0.030932716518607302
2.555e-05,119.59712900627017,104.50229246473876,224.09942147100892,1.4514497111110476,-0.3732693606038425,-1.1887000494753992,0.03188980425739291,0.030948501802554207
2.5575e-05,119.64211225082661,104.55247582648848,224.19458807731507,1.4514071969913742,-0.37266922473769626,-1.1883006802217317,0.03190565178103232,0.030964321357625967
2.5600000000000002e-05,119.68710032435857,104.60266435437977,224.28976467873832,1.4513652726229256,-0.3720681134710202,-1.1879014575264384,0.03192154111134625,0.030980175191048856
2.5625000000000003e-05,119.73209322378393,104.65285803702587,224.3849512608098,1.4513239386400623,-0.3714660270650595,-1.187502382096296,0.03193747225833245,0.030996063310027633
2.5650000000000003e-05,119.77709094601721,104.70305686302794,224.48014780904515,1.451283195677277,-0.37086296578213984,-1.1871034546386494,0.031953445231963425,0.031011985721745582
2.5675e-05,119.82209348796944,104.7532608209752,224.57535430894464,1.4512430443692026,-0.370258929885678,-1.186704675861423,0.031969460042186426,0.031027942433364486
2.57e-05,119.86710084654821,104.80346989944489,224.6705707459931,1.4512034853506148,-0.3696539196401857,-1.1863060464731237,0.031985516698923376,0.03104393345202458
2.5725000000000002e-05,119.91211301865764,104.85368408700238,224.76579710566,1.4511645192564209,-0.369047935311258,-1.1859075671828265,0.032001615212070886,0.031059958784844556
2.5750000000000002e-05,119.95713000119831,104.90390337220119,224.8610333733995,1.4511261467216554,-0.36844097716557367,-1.1855092387001722,0.03201775559150017,0.03107601843892151
2.5775000000000003e-05,120.00215179106728,104.95412774358303,224.95627953465032,1.4510883683814748,-0.3678330454708859,-1.1851110617353569,0.03203393784705709,0.031092112421330996
2.5800000000000004e-05,120.04717841436926,105.00435708769103,225.0515355020603,1.450958484218398,-0.36713832081315484,-1.1845948418185954,0.03205003277649073,0.031108143415368147
2.5825e-05,120.0922104493557,105.05458937396554,225.14679982332126,1.448987879382577,-0.3647390617576148,-1.1817318857867525,0.032063572581981906,0.03112225367254645
2.585e-05,120.13724789134629,105.10482461608528,225.24207250743157,1.4470287796323755,-0.3623510114296453,-1.1788845821811944,0.03207711079809727,0.03113636725306227
2.5875000000000002e-05,120.18229073564339,105.15506282773993,225.33735356338332,1.4450811872132976,-0.3599741718912056,-1.1760529340411425,0.032090647426579556,0.031150484160939088
2.5900000000000003e-05,120.22733897753214,105.20530402263009,225.43264300016222,1.443145104374035,-0.3576085452072638,-1.17323694441017,0.032104182469171565,0.031164604400203577
2.5925000000000003e-05,120.27239261228044,105.25554821446737,225.5279408267478,1.4412205333664683,-0.3552541334457933,-1.1704366163362,0.032117715927616156,0.03117872797488563
2.595e-05,120.31745163513898,105.30579541697436,225.62324705211336,1.4393074764456717,-0.3529109386777822,-1.1676519528715161,0.03213124780365616,0.0311928548890183
2.5975e-05,120.36251604134131,105.35604564388471,225.718561685226,1.4374059358698887,-0.35057896297720514,-1.164882957072724,0.03214477809903451,0.031206985146637903
2.6000000000000002e-05,120.40758582610383,105.40629890894313,225.81388473504694,1.4355159139005542,-0.34825820842104827,-1.162129632000786,0.03215830681549417,0.031221118751783912
2.6025000000000002e-05,120.45266098462584,105.4565552259054,225.90921621053124,1.4336374128022682,-0.34594867708927923,-1.1593919807209812,0.03217183395477816,0.03123525570849905
2.6050000000000003e-05,120.4977415120896,105.50681460853846,226.00455612062808,1.431770434842804,-0.3436503710648594,-1.1566700063029218,0.032185359518629594,0.031249396020829264
2.6075000000000004e-05,120.54282740366033,105.55707707062037,226.0999044742807,1.4299149822931003,-0.34136329243373154,-1.1539637118205364,0.03219888350879169,0.031263539692823764
2.61e-05,120.5879186544862,105.60734262594036,226.19526128042656,1.4280710574272546,-0.33908744328481577,-1.1512731003520635,0.032212405927007706,0.03127768672853499
2.6125e-05,120.63301525969848,105.65761128829891,226.2906265479974,1.4262386625225296,-0.33682282571001654,-1.1485981749800618,0.032225926775021,0.031291837132018586
2.6150000000000002e-05,120.67811721441147,105.7078830715077,226.38600028591918,1.424417799859337,-0.334569441804203,-1.145938938791385,0.03223944605457508,0.03130599090733353
2.6175000000000003e-05,120.72322451372258,105.75815798938969,226.4813825031123,1.4226084717212357,-0.33232729366520913,-1.1432953948771811,0.032252963767413566,0.03132014805854203
2.6200000000000003e-05,120.76833715271235,105.80843605577913,226.5767732084915,1.4208106803949376,-0.3300963833938396,-1.1406675463328997,0.032266479915280186,0.0313343085897096
2.6225000000000004e-05,120.81345512644448,105.85871728452157,226.67217241096606,1.4190244281702973,-0.3278767130938588,-1.138055396258277,0.03227999449991879,0.031348472504904974
2.625e-05,120.85857842996587,105.90900168947397,226.76758011943986,1.4172497173403034,-0.32566828487198174,-1.1354589477573263,0.03229350752307342,0.03136263980820024
2.6275000000000002e-05,120.90370705830668,105.95928928450459,226.86299634281127,1.4154865502010843,-0.3234711008378789,-1.1328782039383418,0.032307018986488224,0.03137681050367078
2.6300000000000002e-05,120.94884100648031,106.00958008349316,226.95842108997346,1.4137349290518944,-0.32128516310416466,-1.1303131679138847,0.03232052889190754,0.031390984595395244
2.6325000000000003e-05,120.99398026948347,106.05987410033082,227.0538543698143,1.411994856195129,-0.3191104737864096,-1.127763842800798,0.03233403724107587,0.031405162087455626
2.6350000000000004e-05,121.03912484229623,106.11017134892016,227.1492961912164,1.4102663339362975,-0.3169470350031148,-1.125230231720175,0.032347544035737905,0.03141934298393723
2.6375e-05,121.08427471988202,106.16047184317529,227.2447465630573,1.408549364584034,-0.31479484887572146,-1.122712337797369,0.0323610492776385,0.0314335272889287
2.64e-05,121.12942989718768,106.21077559702182,227.3402054942095,1.4068439504500914,-0.31265391752860683,-1.1202101641619895,0.03237455296852272,0.031447715006522
2.6425000000000002e-05,121.1745903691435,106.26108262439692,227.43567299354044,1.405150093849335,-0.3105242430890729,-1.1177237139478888,0.032388055110135865,0.03146190614081248
2.6450000000000003e-05,121.21975613066326,106.31139293924934,227.5311490699126,1.4034677970997498,-0.3084058276873597,-1.1152529902931763,0.0324015557042234,0.031476100695898776
